Model,F1,AUC,Recall,Precision,Threshold,F1@0.5,Recall@0.5,Precision@0.5,BestValF1,BestValAUC,BestEpoch
Classical,0.43243243243243246,0.8105717811600165,0.3076923076923077,0.7272727272727273,0.8563636363636363,0.6274509803921569,0.6153846153846154,0.64,0.8311688311688312,0.9482769852126897,8
Quantum,0.0960960960960961,0.4434903331962155,0.6153846153846154,0.05211726384364821,0.5841414141414141,0.12206572769953052,1.0,0.065,0.23121387283236994,0.5611035111719106,2
Hybrid,0.5405405405405406,0.7779720279720279,0.38461538461538464,0.9090909090909091,0.9058585858585858,0.53125,0.6538461538461539,0.4473684210526316,0.810126582278481,0.9441078757084228,8
