Perturbation_Type,Epsilon,Clean_F1,Attacked_F1,F1_Drop_Percent,Clean_AUC,Attacked_AUC,AUC_Drop_Percent
Quantum Features,0.01,0.6666666666666666,0.6666666666666666,0.0,0.9345703125,0.933837890625,0.07836990595611285
Quantum Features,0.05,0.6666666666666666,0.6666666666666666,0.0,0.9345703125,0.9345703125,0.0
Quantum Features,0.1,0.6666666666666666,0.6666666666666666,0.0,0.9345703125,0.93408203125,0.052246603970741906
Classical Features,0.01,0.6666666666666666,0.6666666666666666,0.0,0.9345703125,0.9345703125,0.0
Classical Features,0.05,0.6666666666666666,0.6804123711340206,-2.0618556701031023,0.9345703125,0.932861328125,0.18286311389759666
Classical Features,0.1,0.6666666666666666,0.6382978723404256,4.2553191489361595,0.9345703125,0.930908203125,0.3918495297805642
Both Features,0.01,0.6666666666666666,0.6666666666666666,0.0,0.9345703125,0.936279296875,-0.18286311389759666
Both Features,0.05,0.6666666666666666,0.6666666666666666,0.0,0.9345703125,0.92724609375,0.7836990595611284
Both Features,0.1,0.6666666666666666,0.6804123711340206,-2.0618556701031023,0.9345703125,0.9375,-0.3134796238244514
