config_name,description,train_periods,test_periods,gap_weeks,train_size,test_size,threshold_mode,threshold,fixed_threshold,train_f1,train_auc,test_f1,test_auc,test_f1_fixed_threshold,retention_rate,f1_degradation,auc_degradation
gap_8weeks,中等间隔（8周）,"[1, 40]","[41, 49]",8,256,256,train_optimized,0.0396969696969696,0.26,0.9731800766283524,0.99176025390625,0.6732673267326733,0.8377685546875,0.5142857142857142,69.18219380993219,0.2999127498956792,0.15399169921875
gap_15weeks,标准分割（15周）,"[1, 34]","[35, 49]",15,256,256,train_optimized,0.099090909090909,0.26,0.9641434262948207,0.994140625,0.7414634146341463,0.89422607421875,0.6666666666666666,76.90385003023583,0.2226800116606744,0.09991455078125
gap_19weeks,最大间隔（19周）,"[1, 30]","[31, 49]",19,256,256,train_optimized,0.0495959595959595,0.26,0.9689922480620154,0.9879150390625,0.8717948717948718,0.933837890625,0.7887323943661971,89.96923076923078,0.0971973762671436,0.0540771484375
